split_type,split,row_index,molecule_chembl_id,model_smiles,scaffold_smiles,y_true_pKi,y_pred_pKi,residual_true_minus_pred,abs_error,rf_tree_std,MW,LogP,TPSA,HBD,HBA,RotBonds,HeavyAtoms,RingCount,uncertainty_rank_desc,abs_error_rank_desc
scaffold,test,3693,CHEMBL330791,NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)CC(c2cccnc2)c2ccc3c(c2)OCO3)CC1,O=C(NCC1CCCCC1)C1CCCN1C(=O)CC(c1cccnc1)c1ccc2c(c1)OCO2,3.0,5.71212815024058,-2.71212815024058,2.71212815024058,1.748148325948822,478.59300000000025,2.9570000000000016,106.78000000000002,2.0,6.0,7.0,35.0,5.0,25.0,11.0
scaffold,test,3054,CHEMBL317917,CCCOc1c(-c2csc(-c3cc(C(=N)N)sc3SC)n2)cnn1-c1ccccn1,c1ccc(-n2cc(-c3csc(-c4ccsc4)n3)cn2)nc1,5.301029995663981,6.561368569385437,-1.260338573721456,1.260338573721456,1.7384717794953544,456.62200000000007,4.914070000000004,102.7,2.0,9.0,8.0,30.0,4.0,26.0,209.0
scaffold,test,3623,CHEMBL165196,O=C(NCC1CCc2ncncc2C1)[C@@H]1CCCN1C(=O)[C@@H](CC1CCCCC1)NS(=O)(=O)Cc1ccccc1,O=C(NCC1CCc2ncncc2C1)C1CCCN1C(=O)C(CC1CCCCC1)NS(=O)(=O)Cc1ccccc1,3.9546770212133424,5.607890712269147,-1.6532136910558046,1.6532136910558046,1.7357129679813166,567.7560000000004,3.1473000000000013,121.35999999999999,2.0,6.0,10.0,40.0,5.0,27.0,105.0
scaffold,test,590,CHEMBL5816807,O=C(Nc1ccc(N2CCOCC2=O)cc1O)OCc1ccccc1,O=C(Nc1ccc(N2CCOCC2=O)cc1)OCc1ccccc1,8.995678626217357,6.83063140598933,2.1650472202280273,2.1650472202280273,1.734404158592254,342.35100000000006,2.5041,88.10000000000001,2.0,5.0,4.0,25.0,3.0,28.0,51.0
scaffold,test,3612,CHEMBL213927,NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)c1noc(Cc2ccc(C(=O)NC3Cc4ccccc4C3)cc2)n1,O=C(NCC(=O)c1noc(Cc2ccc(C(=O)NC3Cc4ccccc4C3)cc2)n1)OCc1ccccc1,4.0,6.735142562625521,-2.735142562625521,2.735142562625521,1.7235017661807202,581.6730000000002,4.164300000000003,149.44,3.0,8.0,13.0,43.0,5.0,29.0,10.0
scaffold,test,257,CHEMBL3343299,CC(C)N1CCC(C(=O)Nc2ccccc2OCc2cc(-c3ccc(Cl)s3)on2)CC1,O=C(Nc1ccccc1OCc1cc(-c2cccs2)on1)C1CCNCC1,9.590228032229064,7.8529345196224405,1.7372935126066231,1.7372935126066231,1.7174931180312032,459.9990000000002,5.694400000000005,67.60000000000001,1.0,6.0,7.0,31.0,4.0,30.0,92.0
scaffold,test,1416,CHEMBL1922344,COc1ccc(C(=O)Nc2cccc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1,O=C(Nc1cccc(OC2CCCCO2)c1NC(=O)c1ccc(N2CCCNCC2)cc1)c1ccccc1,7.698970004336019,7.04482981453396,0.6541401898020585,0.6541401898020585,1.693555498946384,650.6849999999998,1.6127000000000002,190.36,6.0,11.0,9.0,47.0,5.0,33.0,502.0
scaffold,test,1283,CHEMBL198629,Cc1cc2cc(NC(=N/[C@H]3CCCCN(CC(=O)N4CCCC4)C3=O)/C(C#N)=C(\O)OCCCCO)ccc2o1,O=C(CN1CCCCC(N=CNc2ccc3occc3c2)C1=O)N1CCCC1,7.920818753952375,6.537452590084076,1.383366163868299,1.383366163868299,1.6801083796601408,551.6440000000005,3.637400000000002,151.63,3.0,8.0,10.0,40.0,4.0,35.0,168.0
scaffold,test,1235,CHEMBL17793,Cc1nc(N)ccc1CNC(=O)[C@@H]1CC[C@H]2CN(S(=O)(=O)C(c3ccccc3)c3ccccc3)CC(=O)N21,O=C(NCc1cccnc1)C1CCC2CN(S(=O)(=O)C(c3ccccc3)c3ccccc3)CC(=O)N21,8.0,6.881180328623454,1.1188196713765457,1.1188196713765457,1.672915601609556,533.6540000000001,2.38302,125.69999999999997,2.0,6.0,7.0,38.0,5.0,37.0,248.0
scaffold,test,3650,CHEMBL289951,Cc1cc(OCCN(C)c2ccncc2)cc(OS(=O)(=O)c2ccccc2Cl)c1,O=S(=O)(Oc1cccc(OCCNc2ccncc2)c1)c1ccccc1,3.795880017344075,6.976350713348389,-3.1804706960043143,3.1804706960043143,1.669081001520315,432.9290000000002,4.3263200000000035,68.73,0.0,6.0,8.0,29.0,3.0,38.0,5.0
scaffold,test,3680,CHEMBL431675,NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)CC(c2ccccc2)c2ccncc2)CC1,O=C(NCC1CCCCC1)C1CCCN1C(=O)CC(c1ccccc1)c1ccncc1,3.397940008672037,5.548986523545046,-2.1510465148730087,2.1510465148730087,1.6645052843918453,434.5840000000001,3.228300000000001,88.32000000000001,2.0,4.0,7.0,32.0,4.0,39.0,56.0
scaffold,test,3602,CHEMBL2391191,O=C(O)C1CCN(c2ccc(N3C[C@@H](CNCc4ccc(-c5noc(=O)[nH]5)cc4)OC3=O)cc2)CC1,O=C1OC(CNCc2ccc(-c3noc(=O)[nH]3)cc2)CN1c1ccc(N2CCCCC2)cc1,4.023191662661934,5.611102196852366,-1.5879105341904323,1.5879105341904323,1.6632747340245355,493.52000000000027,2.4459,141.0,3.0,8.0,8.0,36.0,5.0,41.0,117.0
scaffold,test,1054,CHEMBL275428,N[C@H]1CC[C@H](CNC(=O)[C@@H]2CC[C@H]3CN(S(=O)(=O)CC(c4ccccc4)c4ccccc4)CC(=O)N32)CC1,O=C(NCC1CCCCC1)C1CCC2CN(S(=O)(=O)CC(c3ccccc3)c3ccccc3)CC(=O)N21,8.301029995663981,6.861090956783295,1.439939038880686,1.439939038880686,1.6544594887943784,538.7140000000002,2.457200000000001,112.80999999999999,2.0,5.0,8.0,38.0,5.0,43.0,153.0
scaffold,test,3687,CHEMBL122894,NC1CCC(CNC(=O)[C@@H]2CCCN2C(=O)CC(c2ccccc2)c2ccccc2)CC1,O=C(NCC1CCCCC1)C1CCCN1C(=O)CC(c1ccccc1)c1ccccc1,3.008773924307505,5.532446523424247,-2.5236725991167424,2.5236725991167424,1.6536458649203003,433.5960000000001,3.833300000000002,75.43,2.0,3.0,7.0,32.0,4.0,44.0,22.0
scaffold,test,1551,CHEMBL1922235,COc1ccc(C(=O)Nc2cccc(O)c2NC(=O)c2ccc(N3CCCN(C)CC3)cc2)cc1,O=C(Nc1ccccc1NC(=O)c1ccc(N2CCCNCC2)cc1)c1ccccc1,7.508638306165727,7.1793983914057415,0.3292399147599854,0.3292399147599854,1.6529346083427723,474.5610000000004,4.047300000000003,94.13999999999999,3.0,6.0,6.0,35.0,4.0,45.0,764.0
scaffold,test,660,CHEMBL253093,CS(=O)(=O)c1ccccc1-c1ccc2c(c1)CCN2C(=O)C1CC(C(F)(F)F)=NN1c1ccc2onc(N)c2c1,O=C(C1CC=NN1c1ccc2oncc2c1)N1CCc2cc(-c3ccccc3)ccc21,8.823908740944319,8.028063791847229,0.7958449490970896,0.7958449490970896,1.6395930380653267,569.565,4.566800000000002,122.1,1.0,8.0,4.0,40.0,6.0,49.0,404.0
scaffold,test,500,CHEMBL5189562,C[C@@H]1CCC[C@H](C)N1CCCCCn1c(=O)c(-c2cc(C(=N)N)ccc2O)nc2ccccc21,O=c1c(-c2ccccc2)nc2ccccc2n1CCCCCN1CCCCC1,9.096910013008056,6.902990175803503,2.193919837204553,2.193919837204553,1.6340286835195061,461.6100000000001,4.486370000000003,108.23,3.0,6.0,8.0,34.0,4.0,53.0,47.0
scaffold,test,3606,CHEMBL4446504,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)CN)CSSC[C@H]2NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]3CSSC[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N3)NC(=O)[C@H]([C@@H](C)CC)NC2=O,O=C1CCSSCC2NC(=O)CNC(=O)CNC(=O)C3CCCN3C(=O)C3CSSCCNC(=O)C(Cc4ccccc4)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(CSSCC(NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N3)NC(=O)CNC2=O,4.017728766960432,6.240014403263728,-2.2222856363032957,2.2222856363032957,1.633901676348824,3517.9759999999924,-24.540520000000335,1613.699999999999,58.0,57.0,64.0,240.0,5.0,54.0,46.0
scaffold,test,196,CHEMBL25461,CC(=N)N1CCC(Oc2ccc(NCc3cccc(-c4cccc(C(=N)N)c4)c3)cc2[N+](=O)[O-])CC1,c1ccc(-c2cccc(CNc3ccc(OC4CCNCC4)cc3)c2)cc1,9.769551078621726,8.642757077217102,1.1267940014046243,1.1267940014046243,1.625180049028856,486.57600000000025,4.998340000000003,141.36,4.0,6.0,8.0,36.0,4.0,57.0,244.0
scaffold,test,3548,CHEMBL164239,Nc1ncc2c(n1)CCC(CNC(=O)[C@@H]1CCCN1C(=O)[C@H](N)C(c1ccccc1)c1ccccc1)C2,O=C(NCC1CCc2ncncc2C1)C1CCCN1C(=O)CC(c1ccccc1)c1ccccc1,4.239577516576788,4.981142709787686,-0.7415651932108975,0.7415651932108975,1.6229129812410328,498.6310000000002,2.4303000000000026,127.23,3.0,6.0,7.0,37.0,5.0,58.0,446.0
scaffold,test,3694,CHEMBL4572188,O=C(O)CNC(=O)[C@@H](COCc1ccccc1)NS(=O)(=O)Cc1ccccc1,O=S(=O)(Cc1ccccc1)NCCOCc1ccccc1,2.259637310505756,6.388253840287526,-4.1286165297817705,4.1286165297817705,1.6220708309474932,406.46000000000015,0.892200000000001,121.80000000000001,3.0,5.0,11.0,28.0,2.0,59.0,1.0
scaffold,test,3501,CHEMBL566340,CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCc1ccc(C(=N)N)cc1,O=C(CNC(=O)CNC(=O)Cc1ccccc1)NCC(=O)NCc1ccccc1,4.3979400086720375,5.702473012542724,-1.3045330038706862,1.3045330038706862,1.6041753098639775,678.843,-0.533489999999992,290.07,12.0,7.0,20.0,49.0,2.0,64.0,193.0
scaffold,test,2302,CHEMBL4440685,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CNC(=O)CN)CSSC[C@H]2NC(=O)[C@H](C)NC(=O)CNC(=O)[C@@H]3CCCN3C(=O)[C@@H]3CSSC[C@H](C(=O)NCC(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(C)C)NC1=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N3)NC(=O)[C@H]([C@@H](C)CC)NC2=O,O=C1CNC(=O)CNC(=O)CNC(=O)C(Cc2ccccc2)NC(=O)CCSSCC2NC(=O)CNC(=O)CNC(=O)C3CCCN3C(=O)C3CSSCCNC(=O)C(Cc4ccccc4)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(CSSCC(NC(=O)CNC(=O)CN1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N3)NC(=O)CNC2=O,6.337242168318426,6.339574667906761,-0.0023324995883351463,0.0023324995883351463,1.5977600323200754,3578.074999999992,-22.290120000000286,1593.469999999999,57.0,56.0,65.0,245.0,6.0,66.0,1105.0
scaffold,test,1786,CHEMBL17799,O=C(NCc1ccc2[nH]cnc2c1)[C@@H]1CC[C@H]2CN(S(=O)(=O)C(c3ccccc3)c3ccccc3)CC(=O)N21,O=C(NCc1ccc2[nH]cnc2c1)C1CCC2CN(S(=O)(=O)C(c3ccccc3)c3ccccc3)CC(=O)N21,7.1249387366083,6.841450828138988,0.28348790846931227,0.28348790846931227,1.5971825219036548,543.6490000000001,2.973700000000001,115.46999999999998,2.0,5.0,7.0,39.0,6.0,67.0,804.0
scaffold,test,3630,CHEMBL568067,CC(C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC1CCN(C(=N)N)CC1,O=C(CNC(=O)CNC(=O)Cc1ccccc1)NCC(=O)NCC1CCNCC1,3.910094888560602,5.449141243076324,-1.5390463545157225,1.5390463545157225,1.5961623453707423,685.8789999999997,-1.4122900000000014,293.31,12.0,7.0,19.0,49.0,2.0,68.0,126.0
scaffold,test,2649,CHEMBL4096251,COC(=O)Nc1ccc2c(c1)NC(=O)CCc1nc(ccc1F)C[C@H](NC(=O)/C=C/c1cc(Cl)ccc1-n1cnnn1)c1nc-2c[nH]1,O=C(C=Cc1ccccc1-n1cnnn1)NC1Cc2cccc(n2)CCC(=O)Nc2ccccc2-c2c[nH]c1n2,5.853871964321762,7.063418762784535,-1.2095467984627728,1.2095467984627728,1.5925424980611198,657.0659999999998,4.416300000000002,181.70000000000002,4.0,10.0,5.0,47.0,6.0,70.0,216.0
scaffold,test,2965,CHEMBL4515523,COC(=O)Nc1ccc2c(c1)NC(=O)CC/C=C/C[C@H](N1CC[C@H](c3cccc(Cl)c3)OC1=O)c1nc-2c[nH]1,O=C1CCC=CCC(N2CCC(c3ccccc3)OC2=O)c2nc(c[nH]2)-c2ccccc2N1,5.436518914605589,6.712086953957876,-1.2755680393522866,1.2755680393522866,1.583864973835249,550.0150000000003,6.211700000000005,125.65,3.0,6.0,3.0,39.0,5.0,74.0,203.0
scaffold,test,3593,CHEMBL2391203,O=C(NC[C@H]1CN(c2ccc(N3CCC(C(=O)O)CC3)cc2)C(=O)O1)c1ccc(Cl)c(-c2noc(=O)[nH]2)c1,O=C(NCC1CN(c2ccc(N3CCCCC3)cc2)C(=O)O1)c1cccc(-c2noc(=O)[nH]2)c1,4.047207556955908,5.462732207563945,-1.4155246506080363,1.4155246506080363,1.5818533490072835,541.9480000000003,2.7395000000000005,158.07000000000002,3.0,8.0,7.0,38.0,5.0,76.0,160.0
scaffold,test,2725,CHEMBL3114559,CC(C)(C)[C@@H](O)C(=O)N1CCCC[C@H]1C(=O)NCc1cc(Cl)ccc1CN,O=C(NCc1ccccc1)C1CCCCN1,5.7447274948966935,6.4121679091816866,-0.667440414284993,0.667440414284993,1.5816088089373617,395.9310000000001,2.203,95.66,3.0,4.0,5.0,27.0,2.0,77.0,499.0
scaffold,test,1450,CHEMBL185330,N=C(N)c1ccc2scc(C3(C(=O)Nc4ccc(-n5cnc6ccccc65)cc4)CC3)c2c1,O=C(Nc1ccc(-n2cnc3ccccc32)cc1)C1(c2csc3ccccc23)CC1,7.657577319177793,7.58755241258485,0.07002490659294303,0.07002490659294303,1.577406070838138,451.5550000000002,5.194570000000003,96.79,3.0,5.0,5.0,33.0,6.0,79.0,1025.0
scaffold,test,981,CHEMBL1269030,CN1CCC(C2CCN(C(=O)[C@H](NC(=O)c3ccc(Cl)c(N)c3)c3ccccc3)CC2)CC1,O=C(NC(C(=O)N1CCC(C2CCNCC2)CC1)c1ccccc1)c1ccccc1,8.397940008672037,7.597971263186136,0.7999687454859012,0.7999687454859012,1.575977319742005,469.02900000000034,3.9737000000000027,78.67,2.0,4.0,5.0,33.0,4.0,80.0,402.0
scaffold,test,3576,CHEMBL1644912,C/C(=N\NC(=N)N)c1cc(NS(=O)(=O)c2ccccc2)cc(/C(C)=N/NC(=N)N)c1,O=S(=O)(Nc1ccccc1)c1ccccc1,4.096910013008056,4.8080043056541015,-0.7110942926460453,0.7110942926460453,1.5702754866111237,429.5100000000001,0.9015400000000002,194.69000000000003,7.0,6.0,7.0,30.0,2.0,83.0,468.0
scaffold,test,1351,CHEMBL164418,CCOC(=O)c1ccc(CCOC(=O)N[C@H](CC2CCN(C(=N)N)CC2)C(=O)NCC(=O)N[C@H]2CCCN(C(=N)N)C2O)cc1,O=C(CNC(=O)C(CC1CCNCC1)NC(=O)OCCc1ccccc1)NC1CCCNC1,7.795880017344075,6.125253018013636,1.6706269993304392,1.6706269993304392,1.5577711204101203,631.7350000000002,-0.5951599999999935,249.28,8.0,9.0,12.0,45.0,3.0,87.0,102.0
scaffold,test,2294,CHEMBL560319,O=C(Nc1nc(CC(=O)N2CCN(CC(=O)N3CCCC3)CC2)cs1)c1ccc(Cl)cc1,O=C(Nc1nc(CC(=O)N2CCN(CC(=O)N3CCCC3)CC2)cs1)c1ccccc1,6.354577730650908,7.489840805331865,-1.1352630746809576,1.1352630746809576,1.550592328821455,476.0020000000002,2.3579000000000008,85.85000000000001,1.0,6.0,6.0,32.0,4.0,89.0,241.0
scaffold,test,2925,CHEMBL2016875,N=C(N)c1ccc(CNC(=O)[C@@H]2Cc3cn(nn3)Cc3cccc([n+]3[O-])Cn3cc(nn3)C[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N2)cc1,O=C(NCc1ccccc1)C1Cc2cn(nn2)Cc2cccc([nH+]2)Cn2cc(nn2)CC(NS(=O)(=O)Cc2ccccc2)C(=O)N1,5.505428015769802,6.078674996964136,-0.5732469811943339,0.5732469811943339,1.545246578461397,698.7700000000002,-0.7283299999999928,242.59999999999997,5.0,12.0,8.0,50.0,6.0,90.0,554.0
scaffold,test,1056,CHEMBL233963,O=C(N[C@H]1CCCC[C@H]1NC(=O)c1ccc2c(Cl)c[nH]c2c1)c1ccc(N2CCCOC2=O)cc1,O=C(NC1CCCCC1NC(=O)c1ccc2cc[nH]c2c1)c1ccc(N2CCCOC2=O)cc1,8.301029995663981,8.003755853827036,0.29727414183694556,0.29727414183694556,1.5404044649339068,494.9790000000003,4.639000000000003,103.53,3.0,4.0,5.0,35.0,5.0,92.0,791.0
scaffold,test,3437,CHEMBL120842,N=C(N)NCCCNC(=O)[C@@H]1CS[C@H]2CC[C@@H](NS(=O)(=O)Cc3ccccc3)C(=O)N21,O=C1C(NS(=O)(=O)Cc2ccccc2)CCC2SCCN12,4.585026652029182,6.046388728207633,-1.4613620761784514,1.4613620761784514,1.5384827996282446,468.6050000000002,-0.4721299999999953,157.48,5.0,6.0,9.0,31.0,3.0,93.0,147.0
scaffold,test,609,CHEMBL256573,O=C(Nc1ccc(Cl)cn1)c1ccccc1NCc1ccc(-n2ccccc2=O)cc1,O=C(Nc1ccccn1)c1ccccc1NCc1ccc(-n2ccccc2=O)cc1,8.958607314841775,8.937503411769868,0.021103903071907126,0.021103903071907126,1.5379557130348365,430.8950000000002,4.750300000000003,76.02000000000001,2.0,5.0,6.0,31.0,4.0,94.0,1085.0
scaffold,test,2337,CHEMBL5839598,COC1CCC(n2nc(C(N)=O)cc2C(=O)NC2CCN(N3CCOCC3=O)CC2)CC1,O=C(NC1CCN(N2CCOCC2=O)CC1)c1ccnn1C1CCCCC1,6.279840696594043,6.452134938287736,-0.17229424169369345,0.17229424169369345,1.537872231426685,448.52400000000046,0.08010000000000228,132.02,2.0,8.0,6.0,32.0,4.0,95.0,919.0
scaffold,test,1074,CHEMBL402761,O=C(Nc1ccccc1S(=O)(=O)Nc1ccc(Cl)cn1)c1ccc(-n2ccccc2=O)cc1,O=C(Nc1ccccc1S(=O)(=O)Nc1ccccn1)c1ccc(-n2ccccc2=O)cc1,8.259637310505756,8.838197568702697,-0.5785602581969407,0.5785602581969407,1.5346919282823548,480.93300000000016,3.939000000000002,110.16,2.0,6.0,6.0,33.0,4.0,98.0,548.0
